Initial_Index_Range,Feature_1_Pred,Feature_2_Pred,Feature_3_Pred,Feature_4_Pred,Feature_5_Pred,Feature_6_Pred,Feature_7_Pred,Feature_8_Pred,Feature_9_Pred,Feature_1_Real,Feature_2_Real,Feature_3_Real,Feature_4_Real,Feature_5_Real,Feature_6_Real,Feature_7_Real,Feature_8_Real,Feature_9_Real
367-382,7.64920537829399,6.962479287385941,413.85162701606754,30.526481223106384,2.434038131535053,2.024812688827515,11.016885416418313,2918.0043195188046,0.06215079271793366,7.58,6.859999999999999,417.2,27.3,2.34,2.04,11.19,4765.0,0.088
367-382,7.656411296725272,7.0230521142482765,411.2253897666931,32.50847096443176,2.6202920395135876,2.04534040927887,11.018415180444716,2364.287338502705,0.06028524079918862,7.58,6.869999999999999,417.59999999999997,31.2,2.73,2.0,11.19,4765.0,0.083
367-382,7.6601017460227006,7.060343222022057,408.18107016086583,33.78948111534118,2.747256973981857,2.0702221298217776,11.05499546559155,1894.2714865356684,0.05928396913409234,7.57,6.9399999999999995,418.3,31.1,2.42,2.02,11.24,5700.0,0.107
367-382,7.658527753055095,7.0776817041635525,404.7778003573418,34.730761599540706,2.8315890997648236,2.0985658073425295,11.117848340183496,1509.7570842951536,0.05896960902214051,7.6,6.97,417.99999999999994,35.2,2.7100000000000004,2.04,11.24,5700.0,0.099
367-382,7.655379062891006,7.08355047941208,401.64509896039965,35.44187178611755,2.9159021580219266,2.1250306272506716,11.151867378294467,1048.4235910996795,0.05875984328985215,7.64,6.98,416.4,34.0,2.27,1.95,11.24,5700.0,0.077
