model,mae,mse,rmse,r2,test_loss
xLSTM,0.03426416947316098,0.0018525330878267807,0.04304106281014423,0.9130268598974365,0.00399387301877141
LSTM,0.3810772518877701,0.1679691079946015,0.40984034451796164,-6.885851463875758,0.056261949241161346
sLSTM,0.025576992300889827,0.0011708772095008549,0.03421808307753161,0.9450293933997802,0.0021386357160129896
mLSTM,0.029512062909141663,0.0015022778840574752,0.03875922966284902,0.929470719987847,0.002901047128640736
