Initial_Index_Range,Feature_1_Pred,Feature_2_Pred,Feature_3_Pred,Feature_4_Pred,Feature_5_Pred,Feature_6_Pred,Feature_7_Pred,Feature_8_Pred,Feature_9_Pred,Feature_1_Real,Feature_2_Real,Feature_3_Real,Feature_4_Real,Feature_5_Real,Feature_6_Real,Feature_7_Real,Feature_8_Real,Feature_9_Real
367-382,7.602884827405214,6.771191638112069,377.03610630035405,39.457923030853266,2.0203659787774084,2.0282899641990664,12.16370677575469,1639.6124220639467,0.06078354710340501,7.58,6.859999999999999,417.2,27.3,2.34,2.04,11.19,4765.0,0.088
367-382,7.7711147707700725,6.802331923842431,352.7215210556984,52.895167350769036,2.409357262253761,1.98454340338707,13.219086997330187,-2385.892882987857,0.07897463190555573,7.58,6.869999999999999,417.59999999999997,31.2,2.73,2.0,11.19,4765.0,0.083
367-382,7.795680262446403,6.834356505274774,346.3737986028195,71.7240460395813,2.6291045051813122,1.974779238700867,12.864971783339977,-2946.1869286745787,0.08249731868505479,7.57,6.9399999999999995,418.3,31.1,2.42,2.02,11.24,5700.0,0.107
367-382,7.879940874874592,6.871933021545411,331.5820876449347,85.13474006652832,2.6593859153985977,2.03190993309021,12.869801391810178,-4811.995956927538,0.0787961958050728,7.6,6.97,417.99999999999994,35.2,2.7100000000000004,2.04,11.24,5700.0,0.099
367-382,7.954994564652442,7.128217749595643,327.65798637866976,96.74251985549927,2.682870025038719,2.1255799436569216,12.226234096735714,-7605.770689308643,0.08074195057153703,7.64,6.98,416.4,34.0,2.27,1.95,11.24,5700.0,0.077
