Initial_Index_Range,Feature_1_Pred,Feature_2_Pred,Feature_3_Pred,Feature_4_Pred,Feature_5_Pred,Feature_6_Pred,Feature_7_Pred,Feature_8_Pred,Feature_9_Pred,Feature_1_Real,Feature_2_Real,Feature_3_Real,Feature_4_Real,Feature_5_Real,Feature_6_Real,Feature_7_Real,Feature_8_Real,Feature_9_Real
367-382,8.181032398939132,8.361372896432878,383.2747413992882,27.528265535831448,1.6873283499479295,1.7949693405628206,8.69674725239724,4050.6032808870073,0.05556863468885422,7.58,6.859999999999999,417.2,27.3,2.34,2.04,11.19,4765.0,0.088
367-382,8.270133507847786,8.804162664413454,401.73238869905475,26.529623973369596,1.8253292959928513,1.8214576447010042,8.410109877042473,3747.290398597717,0.05827049088478089,7.58,6.869999999999999,417.59999999999997,31.2,2.73,2.0,11.19,4765.0,0.083
367-382,8.32212813436985,9.115076730251314,414.9013376235962,25.68010275363922,1.9254836547374725,1.844634374380112,8.209441560126841,3543.7874979823823,0.060040795385837564,7.57,6.9399999999999995,418.3,31.1,2.42,2.02,11.24,5700.0,0.107
367-382,8.358930389881134,9.332944264411926,424.3123975276947,25.170981180667876,1.9946396642923356,1.8619442784786226,8.085108430579304,3392.204172261059,0.061342940419912347,7.6,6.97,417.99999999999994,35.2,2.7100000000000004,2.04,11.24,5700.0,0.099
367-382,8.383789172172547,9.479215278625489,430.69916706085206,24.853843116760252,2.0397539752721787,1.8739421272277834,8.004605443552137,3285.620261661708,0.062242520600557336,7.64,6.98,416.4,34.0,2.27,1.95,11.24,5700.0,0.077
