Initial_Index_Range,Feature_1_Pred,Feature_2_Pred,Feature_3_Pred,Feature_4_Pred,Feature_5_Pred,Feature_6_Pred,Feature_7_Pred,Feature_8_Pred,Feature_9_Pred,Feature_1_Real,Feature_2_Real,Feature_3_Real,Feature_4_Real,Feature_5_Real,Feature_6_Real,Feature_7_Real,Feature_8_Real,Feature_9_Real
367-382,7.560077384412288,6.633045941591264,422.1055084228516,52.3780713558197,2.7407086408138275,2.0721431875228884,12.21447624181211,4786.235540539026,0.0529361162185669,7.58,6.859999999999999,417.2,27.3,2.34,2.04,11.19,4765.0,0.088
367-382,7.640862958729267,6.250229945182801,417.8008734107018,67.3538927078247,3.4729705494642253,2.2585168981552126,13.12752795433998,7284.203255772591,0.054192092597484594,7.58,6.869999999999999,417.59999999999997,31.2,2.73,2.0,11.19,4765.0,0.083
367-382,7.814019998013973,5.867801553010941,411.78623316287997,73.6935965538025,4.080351059436798,2.469092061519623,14.339019956469535,10043.848334133625,0.06003103372454644,7.57,6.9399999999999995,418.3,31.1,2.42,2.02,11.24,5700.0,0.107
367-382,7.991605849862098,5.48173596739769,405.7906169652939,77.70219712257385,4.499959205389023,2.692919602394104,15.710630263984202,12716.01686885953,0.06583447298407555,7.6,6.97,417.99999999999994,35.2,2.7100000000000004,2.04,11.24,5700.0,0.099
367-382,8.131813842654228,5.109291493892671,398.5452211856842,81.42173137664795,4.730968818664551,2.9219515228271487,16.98575053656101,14901.02242088318,0.07203642025589943,7.64,6.98,416.4,34.0,2.27,1.95,11.24,5700.0,0.077
