1,2,3,4,5,6,7,8,9
8.34,7.9,332.1,73.4,2.2,1.94,11.21,2490,0.097
8.35,7.89,336.4,65.2,1.97,1.91,11.21,2490,0.088
8.32,8,338.2,56.6,2.12,1.9,11.16,2460,0.097
8.34,8.02,333.9,57.2,1.55,1.9,11.16,2460,0.085
8.35,7.96,332.7,58.6,1.39,1.88,11.16,2460,0.085
8.35,7.94,336.9,54.7,1.94,1.84,11.16,2460,0.083
8.33,7.98,338.2,55.7,1.62,1.84,11.11,2580,0.085
8.36,8.46,376.6,52.9,33.48,1.85,9.59,2000,0.074
8.33,8.44,382.5,53.7,4.3,1.88,9.59,2000,0.075
8.34,8.44,372.1,50.5,2.82,1.83,9.58,1960,0.077
8.35,8.48,372,53.6,3.08,1.85,9.58,1960,0.074
8.38,8.63,379.5,52,3.08,1.85,9.58,1960,0.074
8.38,8.64,381,50.8,3.08,1.85,9.58,1960,0.074
8.38,8.48,371.5,50.3,1.23,1.88,9.58,1960,0.075
8.34,8.53,374.1,47.2,1.92,1.89,9.59,1800,0.077
8.34,8.54,372.1,50.6,1.8,1.88,9.59,1800,0.073
8.33,8.64,379.6,52.4,1.87,1.89,9.59,1800,0.082
8.38,8.56,379.4,45.8,2.26,1.83,9.59,1800,0.077
8.38,8.51,383.8,52.8,2.23,1.84,9.59,1800,0.075
8.36,8.51,370.6,50.9,2.38,1.84,9.53,1770,0.078
8.33,8.51,384,47.6,1.91,1.84,9.53,1770,0.073
8.38,8.54,375.7,48.1,2.31,1.83,9.53,1770,0.072
8.41,8.69,377.9,51.5,2.1,1.9,9.36,1940,0.08
8.41,8.75,371.4,57.4,2.13,1.89,9.36,1940,0.077
8.4,8.71,371.9,53.3,2.04,1.91,9.36,1940,0.075
8.41,8.7,377.8,74.6,1.97,1.88,9.36,1940,0.074
8.38,8.82,383.6,86.3,1.78,1.92,9.22,1880,0.08
8.4,8.85,386.3,53.2,1.21,1.94,9.07,1830,0.085
8.4,9.53,391.8,43.6,2.25,1.61,8.72,1350,0.084
8.38,9.51,394.7,42,1.88,1.6,8.72,1350,0.08
8.38,9.56,397.4,42,1.62,1.59,8.69,1350,0.076
8.41,9.58,392.5,40.7,1.43,1.59,8.69,1350,0.076
8.38,9.53,392.6,42.7,1.52,1.6,8.69,1350,0.072
8.4,9.49,395.3,39.2,1.16,1.6,8.69,1350,0.074
8.4,9.5,395.7,38.7,1.65,1.59,8.6,1580,0.071
8.41,9.5,395.1,39,1.36,1.58,8.6,1580,0.069
